Set,Code,Release Date,Number in the set,Card Name,Rarity,Text,Mana Cost,Type,Power,Toughness,CMC,Artist,Standard
Unstable,UST,12/8/2017,12,Knight of the Kitchen Sink (c),Uncommon,"First strike, protection from loose lips (Nothing with an open mouth in its artwork can block, target, deal damage to, or attach to this creature.)",{W}{W},Artifact,,,2,Mark A. Nelson,No
Unstable,UST,12/8/2017,12,Knight of the Kitchen Sink (d),Uncommon,"First strike, protection from odd collector numbers (Nothing with an odd collector number can block, target, deal damage to, or attach to this creature.)",{W}{W},Artifact,,,2,Mark A. Nelson,No
Unstable,UST,12/8/2017,12,Knight of the Kitchen Sink (e),Uncommon,"First strike, protection from two-word names (Nothing with exactly two words in its name can block, target, deal damage to, or attach to this creature. Hyphenated words are one word.)",{W}{W},Artifact,,,2,Mark A. Nelson,No
Unstable,UST,12/8/2017,12,Knight of the Kitchen Sink (f),Uncommon,"First strike, protection from watermarks (Nothing with a watermark can block, target, deal damage to, or attach to this creature.)",{W}{W},Artifact,,,2,Mark A. Nelson,No
Unstable,UST,12/8/2017,13,Knight of the Widget,Uncommon,"Vigilance
Knight of the Widget's power and toughness are each equal to the number of Order of the Widget watermarks among permanents you control.",{2}{W},Artifact,,,3,Emrah Elmasli,No
Unstable,UST,12/8/2017,14,Midlife Upgrade,Uncommon,"As an additional cost to cast Midlife Upgrade, sacrifice X Contraptions.
Assemble X plus one Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",{3}{W},Sorcery,,,4,Hector Ortiz,No
Unstable,UST,12/8/2017,15,Oddly Uneven,Rare,"Choose one —
• Destroy each creature with an odd number of words in its name. (Hyphenated words are one word.)
• Destroy each creature with an even number of words in its name.",{3}{W}{W},Sorcery,,,5,Ben Wootten,No
Unstable,UST,12/8/2017,16,Old Guard,Common,"{W}, {T}: Tap target creature without reminder text. (Reminder text is still any italicized text in parentheses that explains rules you already know.)",{1}{W},Artifact,,,2,David Sladek,No
Unstable,UST,12/8/2017,17,Ordinary Pony,Common,"When this creature enters the battlefield, you may exile target non-Horse creature you control that wasn't put onto the battlefield with this ability this turn, then return it to the battlefield under its owner's control.",{2}{W},Host,,,3,Andrea Radeck,No
Unstable,UST,12/8/2017,18,Rhino-,Uncommon,"Whenever this creature blocks,
Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,1,+,0,YW Tang,No
Unstable,UST,12/8/2017,19,Riveting Rigger,Common,"When Riveting Rigger enters the battlefield, you may sacrifice another artifact. If you do, put two +1/+1 counters on Riveting Rigger and it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{2}{W},Artifact,,,3,Mark A. Nelson,No
Unstable,UST,12/8/2017,20,Rules Lawyer,Rare,"State-based actions don't apply to you or other permanents you control. (You don't lose the game due to having 0 or less life or drawing from an empty library. Your creatures aren't destroyed due to damage or deathtouch and aren't put into a graveyard due to having 0 or less toughness. Your planeswalkers aren't put into a graveyard if they have 0 loyalty. You don't put a legendary permanent into a graveyard if you control two with the same name. Counters aren't removed from your permanents due to game rules. Permanents you control attached or combined illegally remain on the battlefield. For complete rules and regulations, see rule 704.)",{3}{W}{W},Artifact,,,5,Sean Murray,No
Unstable,UST,12/8/2017,21,Sacrifice Play,Common,A person outside the game chooses an attacking or blocking creature target opponent controls. That player sacrifices that creature.,{2}{W},Instant,,,3,Matt Gaser,No
Unstable,UST,12/8/2017,22,Shaggy Camel,Common,"When this creature enters the battlefield, creatures you control get +1/+1 until end of turn.",{3}{W},Host,,,4,Kari Christensen,No
Unstable,UST,12/8/2017,23,Side Quest,Uncommon,"Target player in a silver-bordered game you can see from your seat gains control of target creature you control until your next turn. At the beginning of your next upkeep, put two +1/+1 counters on that creature. (A creature is on the battlefield of only the game its controller is playing.)",{W},Sorcery,,,1,Alex Konstad,No
Unstable,UST,12/8/2017,24,Success!,Common,"Target creature gets +2/+2 until end of turn. If it's a host or has augment, it gains lifelink until end of turn.",{W},Instant,,,1,Andrea Radeck,No
Unstable,UST,12/8/2017,25,Teacher's Pet,Uncommon,"{2}{W}, Sacrifice Teacher's Pet: Search your library for a card with augment, combine it with target host you control, then shuffle your library.",{1}{W},Creature,2,1,2,Mark Behm,No
Unstable,UST,12/8/2017,26,Animate Library,Rare,"Enchant your library
Enchanted library is an artifact creature on the battlefield with power and toughness each equal to the number of cards in it. It's still a library.
If enchanted library would leave the battlefield, exile Animate Library instead.",{4}{U}{U},Enchantment,,,6,Raymond Swanland,No
Unstable,UST,12/8/2017,27,Blurry Beeble,Common,"Blurry (This creature can be blocked only if defending player was wearing glasses as it was cast.)
Whenever Blurry Beeble deals combat damage to a player, you may draw a card. If you do, discard a card.",{U},Artifact,,,1,Jeff Miracola,No
Unstable,UST,12/8/2017,28,Chipper Chopper,Common,"Flying
When Chipper Chopper enters the battlefield, you may sacrifice another artifact. If you do, put two +1/+1 counters on Chipper Chopper and it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{3}{U},Artifact,,,4,Dmitry Burmak,No
Unstable,UST,12/8/2017,29,Clocknapper,Rare,"When Clocknapper enters the battlefield, choose beginning phase, precombat main phase, combat phase, postcombat main phase, or ending phase. Steal that phase from target player during his or her next turn. (That phase occurs as though it's your turn instead.)",{3}{U}{U},Creature,2,2,5,Marco Teixeira,No
Unstable,UST,12/8/2017,30,Crafty Octopus,Common,"When this creature enters the battlefield, this creature assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{2}{U},Host,,,3,Mark Behm,No
Unstable,UST,12/8/2017,31,Crow Storm,Uncommon,"Create a 1/2 blue Bird creature token with flying named Storm Crow.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)",{2}{U},Sorcery,,,3,YW Tang,No
Unstable,UST,12/8/2017,32,Defective Detective,Common,"Defective Detective can't be blocked.
When Defective Detective enters the battlefield, a person outside the game looks at target opponent's hand and chooses a card from it. That player reveals that card.",{2}{U},Creature,2,1,3,Matt Dixon,No
Unstable,UST,12/8/2017,33,Five-Finger Discount,Uncommon,Put target nonland permanent into your hand. You may spend mana as though it were mana of any color the next time you cast that card.,{4}{U}{U},Sorcery,,,6,Milivoj Ćeran,No
Unstable,UST,12/8/2017,34,Graveyard Busybody,Rare,"All graveyards are also your graveyards.
Graveyard Busybody's power and toughness are each equal to the number of cards with flavor text in your graveyards.",{4}{U}{U},Creature,*,*,6,Bram Sels,No
Unstable,UST,12/8/2017,35,"Half-Shark, Half-",Uncommon,"At the beginning of your upkeep,
Augment {5}{U} ({5}{U}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,3,2,0,Brynn Metheney,No
Unstable,UST,12/8/2017,36,Incite Insight,Rare,"Assemble X Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",{X}{U}{U},Sorcery,,,2,David Sladek,No
Unstable,UST,12/8/2017,37,Kindly Cognician,Uncommon,Spells you cast that refer to artifacts or Contraptions in their rules text cost {1} less to cast.,{1}{U},Artifact,,,2,Mark Behm,No
Unstable,UST,12/8/2017,38,Magic Word,Common,"Enchant creature
As Magic Word enters the battlefield, choose a word.
Whisper the chosen word: Tap enchanted creature.",{2}{U},Enchantment,,,3,Carl Frank,No
Unstable,UST,12/8/2017,39,Mer Man,Common,"When this creature enters the battlefield, you may draw a card.",{4}{U},Host,,,5,Mark Behm,No
Unstable,UST,12/8/2017,40,More or Less,Uncommon,Add or subtract 1 or one from a number or number word on target spell or permanent until end of turn.,{U},Instant,,,1,Chris Seaman,No
Unstable,UST,12/8/2017,41,Novellamental,Common,"Flying
Novellamental can block only creatures with flying.",{1}{U},Creature,2,1,2,Tom Babbey,No
Unstable,UST,12/8/2017,41,Novellamental,Common,"Flying
Novellamental can block only creatures with flying.",{1}{U},Creature,2,1,2,Tom Babbey,No
Unstable,UST,12/8/2017,41,Novellamental,Common,"Flying
Novellamental can block only creatures with flying.",{1}{U},Creature,2,1,2,Tom Babbey,No
Unstable,UST,12/8/2017,41,Novellamental,Common,"Flying
Novellamental can block only creatures with flying.",{1}{U},Creature,2,1,2,Tom Babbey,No
Unstable,UST,12/8/2017,42,Numbing Jellyfish,Common,"When this creature enters the battlefield, roll a six-sided die. Target player puts the top X cards of his or her library into his or her graveyard, where X is the result.",{3}{U},Host,,,4,Matt Dixon,No
Unstable,UST,12/8/2017,43,S.N.E.A.K. Dispatcher,Uncommon,"{2}{U}, {T}: Look at the top card of target player's library. If it has an Agents of S.N.E.A.K. watermark, you may reveal it and put it into your hand. Otherwise, put it on the top or bottom of its owner's library.",{1}{U},Creature,2,1,2,John Thacker,No
Unstable,UST,12/8/2017,44,Socketed Sprocketer,Uncommon,"{T}: Uninstall all results from Socketed Sprocketer, then roll a six-sided die. Install the result on Socketed Sprocketer. (Put the die on this card.)
You may uninstall a result from Socketed Sprocketer to use it for a die you rolled.
Uninstall a 6 from Socketed Sprocketer: Draw a card.",{U},Artifact,,,1,David Sladek,No
Unstable,UST,12/8/2017,45,Spell Suck,Common,"Counter target spell, then assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{2}{U}{U},Instant,,,4,Michael Phillippi,No
Unstable,UST,12/8/2017,46,Spy Eye,Uncommon,"Flying
Whenever Spy Eye deals combat damage to a player, you may draw a card from that player's library.",{2}{U}{U},Creature,1,3,4,Ben Wootten,No
Unstable,UST,12/8/2017,47,Suspicious Nanny,Uncommon,"Whenever Suspicious Nanny deals combat damage to a player, it reassembles target Contraption that player controls. (Gain control of it and move it onto one of your sprockets.)",{4}{U},Creature,3,4,5,Chris Seaman,No
Unstable,UST,12/8/2017,48,Time Out,Common,"Roll a six-sided die. Put target nonland permanent into its owner's library just beneath the top X cards of that library, where X is the result.",{4}{U},Instant,,,5,Dave Allsop,No
Unstable,UST,12/8/2017,49,Very Cryptic Command (b),Rare,"Choose two —
• Untap two target permanents.
• Tap each permanent target player controls with exactly one word in its name.
• Discard all the cards in your hand, then draw that many cards.
• Return target instant or sorcery card from your graveyard to your hand.",{1}{U}{U}{U},Instant,,,4,Zoltan Boros,No
Unstable,UST,12/8/2017,49,Very Cryptic Command (a),Rare,"Choose two —
• Switch target creature's power and toughness until end of turn.
• Target creature can't be blocked this turn.
• Draw a card. If that card's art is by Wayne England, you may reveal it and draw another card.
• Assemble a Contraption.",{1}{U}{U}{U},Instant,,,4,Wayne England,No
Unstable,UST,12/8/2017,49,Very Cryptic Command (c),Rare,"Choose two —
• Draw a card from an opponent's library.
• Copy target instant or sorcery spell. You may choose new targets for the copy.
• Until end of turn, target creature loses all abilities and becomes a blue Frog with base power and toughness 1/1.
• Create a 1/1 colorless Gnome artifact creature token.",{1}{U}{U}{U},Instant,,,4,Zoltan Boros,No
Unstable,UST,12/8/2017,49,Very Cryptic Command (d),Rare,"Choose two —
• Return target permanent to its controller's hand.
• Draw two cards, then discard a card.
• Change the target of target spell with a single target.
• Turn over target nontoken creature.",{1}{U}{U}{U},Instant,,,4,Zoltan Boros,No
Unstable,UST,12/8/2017,49,Very Cryptic Command (e),Rare,"Choose two —
• Counter target black-bordered spell.
• Return target creature to its owner's hand.
• Untap each permanent you control with a watermark.
• Roll two six-sided dice. Target player puts the top X cards of his or her library into his or her graveyard, where X is the total of those results.",{1}{U}{U}{U},Instant,,,4,Zoltan Boros,No
Unstable,UST,12/8/2017,49,Very Cryptic Command (f),Rare,"Choose two —
• Scry 3.
• Create a 2/2 black Rogue creature token with menace.
• Add or subtract 1 or one from a number or number word on target spell or permanent until end of turn.
• Return all artifacts target player controls to their owner's hand.",{1}{U}{U}{U},Instant,,,4,Zoltan Boros,No
Unstable,UST,12/8/2017,50,Wall of Fortune,Common,"Defender
You may tap an untapped Wall you control to have any player reroll a die that player rolled.",{1}{U},Artifact,,,2,Tom Babbey,No
Unstable,UST,12/8/2017,51,Big Boa Constrictor,Common,"When this creature enters the battlefield, roll a six-sided die. Target opponent loses life equal to the result.",{3}{B},Host,,,4,Kari Christensen,No
Unstable,UST,12/8/2017,52,capital offense,Common,"target creature gets -x/-x until end of turn, where x is the number of times a capital letter appears in its rules text. (ignore reminder text and flavor text.)",{2}{B}{B},Instant,,,4,Matt Dixon,No
Unstable,UST,12/8/2017,53,Dirty Rat,Common,"When this creature enters the battlefield, target opponent discards a card.",{1}{B},Host,,,2,Kari Christensen,No
Unstable,UST,12/8/2017,54,Extremely Slow Zombie,Common,Last strike (This creature deals combat damage after creatures without last strike.),{1}{B},Creature,3,3,2,Emrah Elmasli,No
Unstable,UST,12/8/2017,54,Extremely Slow Zombie,Common,Last strike (This creature deals combat damage after creatures without last strike.),{1}{B},Creature,3,3,2,Emrah Elmasli,No
Unstable,UST,12/8/2017,54,Extremely Slow Zombie,Common,Last strike (This creature deals combat damage after creatures without last strike.),{1}{B},Creature,3,3,2,Emrah Elmasli,No
Unstable,UST,12/8/2017,54,Extremely Slow Zombie,Common,Last strike (This creature deals combat damage after creatures without last strike.),{1}{B},Creature,3,3,2,Emrah Elmasli,No
Unstable,UST,12/8/2017,55,"Finders, Keepers",Common,"Destroy target creature, then assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{5}{B},Sorcery,,,6,Mark Behm,No
Unstable,UST,12/8/2017,56,Hangman,Rare,"As Hangman enters the battlefield, secretly note a word with six to eight letters.
{1}: Target player who doesn't control Hangman guesses the noted word or an unguessed letter in that word. If he or she guesses wrong, put a +1/+1 counter on Hangman. Any player may activate this ability.
When a player guesses the noted word or all of its letters, sacrifice Hangman.",{B},Creature,1,1,1,Alex Konstad,No
Unstable,UST,12/8/2017,57,Hazmat Suit (Used),Common,"Enchant creature
Enchanted creature gets +2/+1 and has menace.
Whenever a player's skin or fingernail touches enchanted creature, that player loses 2 life.",{3}{B},Enchantment,,,4,Michael Phillippi,No
Unstable,UST,12/8/2017,58,Hoisted Hireling,Common,Hoisted Hireling has flying as long as it's being held above the battlefield.,{2}{B},Creature,2,1,3,Alex Konstad,No
Unstable,UST,12/8/2017,59,Inhumaniac,Uncommon,"At the beginning of your upkeep, roll a six-sided die. On a 3 or 4, put a +1/+1 counter on Inhumaniac. On a 5 or higher, put two +1/+1 counters on it. On a 1, remove all +1/+1 counters from Inhumaniac.",{1}{B},Creature,1,1,2,Matt Dixon,No
Unstable,UST,12/8/2017,60,Masterful Ninja,Rare,"Haste
Reveal Masterful Ninja from your hand: Masterful Ninja is on the battlefield and in your hand until end of turn.
{1}{B}: Masterful Ninja gets +1/+1 until end of turn.",{2}{B},Creature,1,1,3,Matt Gaser,No
Unstable,UST,12/8/2017,61,Ninja,Uncommon,"You may activate Ninja's augment ability any time you could cast an instant.
Whenever this creature deals combat damage to a player,
Augment {2}{B} ({2}{B}, Reveal this card from your hand: Combine it with target host. Augment only as—oh, nevermind.)",,Creature,1,0,0,David Sladek,No
Unstable,UST,12/8/2017,62,Old-Fashioned Vampire,Uncommon,"Flying
Old-Fashioned Vampire gets +2/+2 and has deathtouch as long as it's dark outdoors.",{3}{B}{B},Creature,3,3,5,Simon Dominic,No
Unstable,UST,12/8/2017,63,Over My Dead Bodies,Rare,"Creature cards in graveyards can attack and block as though they were on the battlefield, can block or be blocked only by creature cards in graveyards, are Zombies in addition to their other types, and have undeathtouch. (If they would deal damage to a creature card, exile that creature card instead.)
Creature cards in your graveyard have haste.",{4}{B}{B},Enchantment,,,6,Even Amundsen,No
Unstable,UST,12/8/2017,64,Overt Operative,Uncommon,"Menace
Whenever Overt Operative deals combat damage to a player, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{3}{B},Creature,2,3,4,Bram Sels,No
Unstable,UST,12/8/2017,65,"""Rumors of My Death . . .""",Uncommon,"{3}{B}, Exile a permanent you control with a League of Dastardly Doom watermark: Return a permanent card with a League of Dastardly Doom watermark from your graveyard to the battlefield.",{2}{B},Enchantment,,,3,Alex Konstad,No
Unstable,UST,12/8/2017,66,Skull Saucer,Uncommon,"Flying
When Skull Saucer enters the battlefield, destroy target creature and put your head on the table. Sacrifice Skull Saucer when your head stops touching the table.",{4}{B}{B},Creature,4,1,6,Mike Burns,No
Unstable,UST,12/8/2017,67,Sly Spy (a),Uncommon,"Whenever Sly Spy deals combat damage to a player, that player reveals his or her hand. You choose a card from it with the longest name. That player discards that card.",{2}{B},Creature,2,2,3,Michael Phillippi,No
Unstable,UST,12/8/2017,67,Sly Spy (b),Uncommon,"Whenever Sly Spy deals combat damage to a player, you may destroy target creature facing left in its art. (Creatures without faces don't face anywhere.)",{2}{B},Creature,2,2,3,Michael Phillippi,No
Unstable,UST,12/8/2017,67,Sly Spy (c),Uncommon,"Whenever Sly Spy deals combat damage to a player, that player loses a finger until Sly Spy leaves the battlefield. (The finger is chosen by its owner and can't roll dice or touch cards.)",{2}{B},Creature,2,2,3,Michael Phillippi,No
Unstable,UST,12/8/2017,67,Sly Spy (d),Uncommon,"Whenever Sly Spy deals combat damage to a player, you may destroy target creature facing right in its art. (Creatures without faces don't face anywhere.)",{2}{B},Creature,2,2,3,Michael Phillippi,No
Unstable,UST,12/8/2017,67,Sly Spy (e),Uncommon,"Whenever Sly Spy deals combat damage to a player, that player reveals the top card of his or her library. Put that card into your hand and you lose life equal to its converted mana cost.",{2}{B},Creature,2,2,3,Michael Phillippi,No
Unstable,UST,12/8/2017,67,Sly Spy (f),Uncommon,"Whenever Sly Spy deals combat damage to a player, roll a six-sided die. That player loses life equal to the result.",{2}{B},Creature,2,2,3,Michael Phillippi,No
Unstable,UST,12/8/2017,68,Snickering Squirrel,Common,You may tap Snickering Squirrel to increase the result of a die any player rolled by 1.,{B},Creature,1,1,1,Michael Phillippi,No
Unstable,UST,12/8/2017,69,"Spike, Tournament Grinder",Rare,"({B/P} can be paid with either {B} or 2 life.)
{B/P}{B/P}{B/P}{B/P}: Choose a card you own from outside the game that has been banned or restricted in a Constructed format, reveal that card, and put it into your hand.",{2}{B/P}{B/P},Creature,1,1,4,Zoltan Boros,No
Unstable,UST,12/8/2017,70,Squirrel-Powered Scheme,Uncommon,Increase the result of each die you roll by 2.,{2}{B},Enchantment,,,3,Even Amundsen,No
Unstable,UST,12/8/2017,71,Steady-Handed Mook,Common,"Deathtouch
When Steady-Handed Mook enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{2}{B},Creature,1,1,3,Carl Frank,No
Unstable,UST,12/8/2017,72,Stinging Scorpion,Common,"When this creature enters the battlefield, target creature an opponent controls gets -1/-1 until end of turn.",{4}{B},Host,,,5,YW Tang,No
Unstable,UST,12/8/2017,73,Subcontract,Common,A person outside the game looks at target opponent's hand and chooses a nonland card from it. That player discards that card.,{B},Sorcery,,,1,Hector Ortiz,No
Unstable,UST,12/8/2017,74,Summon the Pack,Mythic Rare,"Open a sealed Magic booster pack, reveal the cards, and put all creature cards revealed this way onto the battlefield under your control. They're Zombies in addition to their other types. (Remove those cards from your deck before beginning a new game.)",{7}{B},Sorcery,,,8,Matt Cavotta,No
Unstable,UST,12/8/2017,75,Zombified,Uncommon,"{4}{B}: Combine Zombified from your graveyard with target host.
{2}{B}, Exile a creature card from your graveyard:
Augment {4}{B} ({4}{B}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,2,2,0,Kev Walker,No
Unstable,UST,12/8/2017,76,The Big Idea,Rare,"{2}{B/R}{B/R}, {T}: Roll a six-sided die. Create a number of 1/1 red Brainiac creature tokens equal to the result.
Tap three untapped Brainiacs you control: The next time you would roll a six-sided die, instead roll two six-sided dice and use the total of those results.",{4}{R}{R},Creature,4,4,6,Bram Sels,No
Unstable,UST,12/8/2017,77,Box of Free-Range Goblins,Common,Roll a six-sided die. Create a number of 1/1 red Goblin creature tokens equal to the result.,{4}{R}{R},Sorcery,,,6,Chris Seaman,No
Unstable,UST,12/8/2017,78,Bumbling Pangolin,Common,"When this creature enters the battlefield, you may destroy target artifact.",{3}{R},Host,,,4,YW Tang,No
Unstable,UST,12/8/2017,79,Common Iguana,Common,"When this creature enters the battlefield, you may discard a card. If you do, draw a card.",{1}{R},Host,,,2,Brynn Metheney,No
Unstable,UST,12/8/2017,80,The Countdown Is at One,Rare,"Players play a Magic subgame, starting at 1 life and using their libraries as their decks. For the rest of the main game, if a source would deal damage to a player who didn't win the subgame, it deals double that damage to that player instead.",{3}{R}{R},Sorcery,,,5,Jesper Ejsing,No
Unstable,UST,12/8/2017,81,Feisty Stegosaurus,Common,"When this creature enters the battlefield, roll a six-sided die. This creature deals damage equal to the result to target creature an opponent controls.",{4}{R},Host,,,5,Kari Christensen,No
Unstable,UST,12/8/2017,82,Garbage Elemental (a),Uncommon,"Frenzy 2 (Whenever this creature attacks and isn't blocked, it gets +2/+0 until end of turn.)
Garbage Elemental can't be blocked by wordy creatures. (A creature is wordy if it has four or more lines of rules text.)",{4}{R},Creature,2,4,5,Hector Ortiz,No
Unstable,UST,12/8/2017,82,Garbage Elemental (b),Uncommon,"When Garbage Elemental enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",{4}{R},Creature,3,1,5,Hector Ortiz,No
Unstable,UST,12/8/2017,82,Garbage Elemental (c),Uncommon,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
When Garbage Elemental enters the battlefield, roll two six-sided dice. Create a number of 1/1 red Goblin creature tokens equal to the difference between those results.",{4}{R},Creature,3,2,5,Hector Ortiz,No
Unstable,UST,12/8/2017,82,Garbage Elemental (d),Uncommon,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
When Garbage Elemental enters the battlefield, roll a six-sided die. Garbage Elemental deals damage equal to the result to target opponent.",{4}{R},Creature,3,3,5,Hector Ortiz,No
Unstable,UST,12/8/2017,82,Garbage Elemental (e),Uncommon,"Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)
Each creature you control with any kind of counter on it has art menace. (They can't be blocked except by creatures with two or more visible figures in their art.)",{4}{R},Creature,4,3,5,Hector Ortiz,No
Unstable,UST,12/8/2017,82,Garbage Elemental (f),Uncommon,"Last strike (This creature deals combat damage after creatures without last strike.)
Battalion — Whenever Garbage Elemental and at least two other creatures attack, target creature can't block this turn.",{4}{R},Creature,6,5,5,Hector Ortiz,No
Unstable,UST,12/8/2017,83,Goblin Haberdasher,Uncommon,"Menace (This creature can't be blocked except by two or more creatures.)
Other creatures you control wearing hats in their art have menace.",{2}{R},Creature,2,2,3,Jesper Ejsing,No
Unstable,UST,12/8/2017,84,"Half-Orc, Half-",Uncommon,"Trample
At the beginning of each end step, if an opponent was dealt damage this turn,
Augment {1}{R}{R} ({1}{R}{R}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,3,1,0,Kev Walker,No
Unstable,UST,12/8/2017,85,Hammer Helper,Common,"Gain control of target creature until end of turn. Untap that creature and roll a six-sided die. Until end of turn, it gains haste and gets +X/+0, where X is the result.",{3}{R},Sorcery,,,4,Dave Allsop,No
Unstable,UST,12/8/2017,86,Hammer Jammer,Uncommon,"As Hammer Jammer enters the battlefield, roll a six-sided die. Hammer Jammer enters the battlefield with a number of +1/+1 counters on it equal to the result.
Whenever you roll a die, remove all +1/+1 counters from Hammer Jammer, then put a number of +1/+1 counters on it equal to the result.",{3}{R},Creature,0,0,4,Wayne Reynolds,No
Unstable,UST,12/8/2017,87,Hammerfest Boomtacular,Uncommon,"Whenever you cast a spell with a Goblin Explosioneers watermark, Hammerfest Boomtacular deals 2 damage to target creature or player.",{3}{R}{R},Enchantment,,,5,Dave Allsop,No
Unstable,UST,12/8/2017,88,Infinity Elemental,Mythic Rare,(This creature has INFINITE POWER.),{4}{R}{R}{R},Creature,∞,5,7,Seb McKinnon,No
Unstable,UST,12/8/2017,89,It That Gets Left Hanging,Common,"When It That Gets Left Hanging enters the battlefield, ask a person outside the game to high-five you. If he or she won't, It That Gets Left Hanging gains haste until end of turn.",{5}{R},Creature,5,4,6,Jesper Ejsing,No
Unstable,UST,12/8/2017,90,Just Desserts,Common,Just Desserts deals π damage to target creature. (π is the ratio of a circle's circumference to its diameter. (It's a smidgen more than 3.)),{1}{R},Instant,,,2,Zoltan Boros,No
